So decadent yet so simple, you'll be saying 'flour who!?' when you let this sweet lava flow.	so decadent yet so simple , you 'll be saying ` flour who !? ' when you let this sweet lava flow .	1
Brussels Sprouts are shredded like cabbage and quickly sauteed in bacon drippings with garlic and almonds.  This recipe has made Brussels sprouts lovers out of haters.	brussels sprouts are shredded like cabbage and quickly sauteed in bacon drippings with garlic and almonds . this recipe has made brussels sprouts lovers out of haters .	1
We've taken some short cuts to make a quick version of the French classic, cassoulet. Chicken thighs replace the classic, and time-consuming, duck confit; canned beans replace dried; and bacon serves as a convenient substitute for other, more involved smoked pork options.	we 've taken some short cuts to make a quick version of the french classic , cassoulet . chicken thighs replace the classic , and time-consuming , duck confit ; canned beans replace dried ; and bacon serves as a convenient substitute for other , more involved smoked pork options .	1
This chicken has an Indian flair to it, but it is mild and will be loved by anyone who loves the flavor of cilantro. It requires some work so it is only for people who are adventurous and looking for something new. Adjust the amount of cilantro--adding up to an extra bunch--to suite your tastes. Try serving with bread and rice.	this chicken has an indian flair to it , but it is mild and will be loved by anyone who loves the flavor of cilantro . it requires some work so it is only for people who are adventurous and looking for something new . adjust the amount of cilantro -- adding up to an extra bunch -- to suite your tastes . try serving with bread and rice .	1
I served these spicy grilled game hens on a bed of romaine lettuce with a spoonful of the Calabrian chile paste for garnish. It's a very delicious, flavorful, moist chicken.	i served these spicy grilled game hens on a bed of romaine lettuce with a spoonful of the calabrian chile paste for garnish . it 's a very delicious , flavorful , moist chicken .	1
This simple chicken in a vibrant coconut milk sauce will fill your kitchen with the enticing aromas of South American cooking. It's great served over pasta or rice.	this simple chicken in a vibrant coconut milk sauce will fill your kitchen with the enticing aromas of south american cooking . it 's great served over pasta or rice .	1
My friend's wife introduced me to this recipe. I HATE broccoli, but loved this soup. I ate every drop. It's simple and good!	my friend 's wife introduced me to this recipe . i hate broccoli , but loved this soup . i ate every drop . it 's simple and good !	1
The last recipe you'll ever have to get for Baked Potato Soup.  It's thick soup and could be served with just a salad.  Everyone in the family will love this one.	the last recipe you 'll ever have to get for baked potato soup . it 's thick soup and could be served with just a salad . everyone in the family will love this one .	1
This chicken and mushrooms recipe video is an experiment in extreme self-control; I wanted to challenge myself to make a chicken and mushrooms recipe using only chicken and mushrooms.	this chicken and mushrooms recipe video is an experiment in extreme self-control ; i wanted to challenge myself to make a chicken and mushrooms recipe using only chicken and mushrooms .	1
If you can't decide whether to make a BLT sandwich or a pasta, now you can do both. The combination of bacon, lettuce, and tomato has a proven track record of deliciousness!	if you ca n't decide whether to make a blt sandwich or a pasta , now you can do both . the combination of bacon , lettuce , and tomato has a proven track record of deliciousness !	1
Most of the ingredients for this Thai-inspired soup can be found in the supermarket. The red curry paste is spicy, but by controlling the amount of paste you add, you can tailor this to your own threshold of pain.	most of the ingredients for this thai-inspired soup can be found in the supermarket . the red curry paste is spicy , but by controlling the amount of paste you add , you can tailor this to your own thres hold of pain .	1
This simple broccoli salad kicks up ordinary broccoli with some lemon and red pepper flakes.	this simple broccoli salad kicks up ordinary broccoli with some lemon and red pepper flakes .	1
If you love chicken cordon bleu because of its winning flavor combination of chicken, ham, and Gruyere cheese, you'll love this sandwich. It has all the satisfying flavors of chicken cordon bleu with half the work!	if you love chicken cordon bleu because of its winning flavor combination of chicken , ham , and gruyere cheese , you 'll love this sandwich . it has all the satisfying flavors of chicken cordon bleu with half the work !	1
Serve this with a hearty appetite.	serve this with a hearty appetite .	1
This dry mix of herbs and spices adds a unique zing to any chicken dish, it has just the right amount of heat and flavor to make all your guests beg for more. Don't be scared by the long list, most of it is spices you will probably have in your cupboard. Note, it also gives chili a great flavor without adding too much heat.	this dry mix of herbs and spices adds a unique zing to any chicken dish , it has just the right amount of heat and flavor to make all your guests beg for more . do n't be scared by the long list , most of it is spices you will probably have in your cupboard . note , it also gives chili a great flavor without adding too much heat .	1
This is a great cold weather meal, although it's delicious anytime of the year.	this is a great cold weather meal , although it 's delicious anytime of the year .	1
This recipe is thick and flavorful.  It is simple, delicious, and quick to make, enjoy (I know you will).	this recipe is thick and flavorful . it is simple , delicious , and quick to make , enjoy -lrb- i know you will -rrb- .	1
My husband loves Panera&reg; broccoli cheddar soup but it went up in price and therefore we set out on a hunt to create the perfect broccoli cheddar soup. Here is what we came up with. There are tons of variations and options to make this soup your own. You can add extra veggies, different cheeses, garlic to your onions, a little nutmeg to the finished soup, green onions, sour cream, etc. The list goes on and on. Make it your own! Serve topped with cheese!	my husband loves panera & reg ; broccoli cheddar soup but it went up in price and therefore we set out on a hunt to create the perfect broccoli cheddar soup . here is what we came up with . there are tons of variations and options to make this soup your own . you can add extra veggies , different cheeses , garlic to your onions , a little nutmeg to the finished soup , green onions , sour cream , etc. . the list goes on and on . make it your own ! serve topped with cheese !	1
This recipe's roots can be traced back to the Great Depression, when farmers first began selling the unripe peppers out of necessity. Of course, we did what Americans always do when faced with a new variety of food, we stuffed meat in it.	this recipe 's roots can be traced back to the great depression , when farmers first began selling the unripe peppers out of necessity . of course , we did what americans always do when faced with a new v ariety of food , we stuffed meat in it .	1
Who doesn't love a nice red velvet cake in cupcake form? They're moist, not too sweet, and they've got a gorgeous color. Serve these spread with cream cheese frosting.	who does n't love a nice red velvet cake in cupcake form ? they 're moist , not too sweet , and they 've got a gorgeous color . serve these spread with cream cheese frosting .	1
An extremely delicious meal: the crunch of pine nuts and the tang of sun-dried tomatoes combine with chicken and pasta in a heavenly pesto cream sauce. Be sure to taste and salt before serving, because depending on what kind of chicken broth you use, the dish may require no salt at all or may be extremely under-salted.	an extremely delicious meal : the crunch of pine nuts and the tang of sun-dried tomatoes combine with chicken and pasta in a heavenly pesto cream sauce . be sure to taste and salt before serving , becaus e depending on what kind of chicken broth you use , the dish may require no salt at all or may be extremely under-salted .	1
Lovingly known as just 'green spaghetti' in our family, this pesto is unique because of the addition of cream cheese which gives it a great creamy texture (plus no pine nuts!).	lovingly known as just ` green spaghetti ' in our family , this pesto is unique because of the addition of cream cheese which gives it a great creamy texture -lrb- plus no pine nuts ! -rrb- .	1
